"TEAM_ABBR","OT","Q1","Q2","Q3","SHTOUT","TOTAL_GOALS","OT_ALWD","Q1_ALWD","Q2_ALWD","Q3_ALWD","SHTOUT_ALWD","TOTAL_GOALS_ALWD","HOME_AWAY","SHOOTOUT_FLAG","GAME_DATE","GAME_ID"
"BOS",1,0,0,1,0,2,0,0,1,0,0,1,"H","N","2010-01-01","201001010BOS"
"PHI",0,0,1,0,0,1,1,0,0,1,0,2,"A","N","2010-01-01","201001010BOS"
"ATL",0,0,3,0,0,3,1,0,1,2,0,4,"A","N","2010-01-01","201001010BUF"
"BUF",1,0,1,2,0,4,0,0,3,0,0,3,"H","N","2010-01-01","201001010BUF"
"CBJ",0,1,1,0,0,2,0,0,1,2,0,3,"H","N","2010-01-02","201001020CBJ"
"COL",0,0,1,2,0,3,0,1,1,0,0,2,"A","N","2010-01-02","201001020CBJ"
"CGY",0,0,2,1,0,3,0,1,0,0,0,1,"H","N","2010-01-02","201001020CGY"
"TOR",0,1,0,0,0,1,0,0,2,1,0,3,"A","N","2010-01-02","201001020CGY"
"DAL",0,0,0,1,0,1,0,0,1,2,0,3,"H","N","2010-01-02","201001020DAL"
"VAN",0,0,1,2,0,3,0,0,0,1,0,1,"A","N","2010-01-02","201001020DAL"
"LAK",0,1,0,1,0,2,0,0,1,0,0,1,"H","N","2010-01-02","201001020LAK"
"WSH",0,0,1,0,0,1,0,1,0,1,0,2,"A","N","2010-01-02","201001020LAK"
"MIN",0,0,2,1,0,3,0,0,3,2,0,5,"H","N","2010-01-02","201001020MIN"
"NJD",0,0,3,2,0,5,0,0,2,1,0,3,"A","N","2010-01-02","201001020MIN"
"ANA",0,1,0,0,0,1,0,0,1,2,0,3,"A","N","2010-01-02","201001020NSH"
"NSH",0,0,1,2,0,3,0,1,0,0,0,1,"H","N","2010-01-02","201001020NSH"
"ATL",0,0,4,1,0,5,0,3,2,0,1,6,"A","Y","2010-01-02","201001020NYI"
"NYI",0,3,2,0,1,6,0,0,4,1,0,5,"H","Y","2010-01-02","201001020NYI"
"CAR",1,0,1,0,0,2,0,0,0,1,0,1,"A","N","2010-01-02","201001020NYR"
"NYR",0,0,0,1,0,1,1,0,1,0,0,2,"H","N","2010-01-02","201001020NYR"
"DET",0,1,1,2,0,4,0,0,1,0,0,1,"A","N","2010-01-02","201001020PHX"
"PHX",0,0,1,0,0,1,0,1,1,2,0,4,"H","N","2010-01-02","201001020PHX"
"EDM",0,0,1,0,0,1,0,2,2,0,0,4,"A","N","2010-01-02","201001020SJS"
"SJS",0,2,2,0,0,4,0,0,1,0,0,1,"H","N","2010-01-02","201001020SJS"
"CHI",0,2,2,2,0,6,0,2,0,1,0,3,"A","N","2010-01-02","201001020STL"
"STL",0,2,0,1,0,3,0,2,2,2,0,6,"H","N","2010-01-02","201001020STL"
"PIT",0,1,0,0,0,1,0,1,1,1,0,3,"A","N","2010-01-02","201001020TBL"
"TBL",0,1,1,1,0,3,0,1,0,0,0,1,"H","N","2010-01-02","201001020TBL"
"ANA",0,0,0,2,0,2,0,0,2,3,0,5,"A","N","2010-01-03","201001030CHI"
"CHI",0,0,2,3,0,5,0,0,0,2,0,2,"H","N","2010-01-03","201001030CHI"
"FLA",0,1,2,3,0,6,0,2,0,0,0,2,"H","N","2010-01-03","201001030FLA"
"PIT",0,2,0,0,0,2,0,1,2,3,0,6,"A","N","2010-01-03","201001030FLA"
"BUF",0,0,1,0,0,1,0,0,0,0,0,0,"A","N","2010-01-03","201001030MTL"
"MTL",0,0,0,0,0,0,0,0,1,0,0,1,"H","N","2010-01-03","201001030MTL"
"OTT",0,4,0,3,0,7,0,1,3,0,0,4,"H","N","2010-01-03","201001030OTT"
"PHI",0,1,3,0,0,4,0,4,0,3,0,7,"A","N","2010-01-03","201001030OTT"
"BOS",0,0,0,2,0,2,0,1,1,1,0,3,"A","N","2010-01-04","201001040NYR"
"NYR",0,1,1,1,0,3,0,0,0,2,0,2,"H","N","2010-01-04","201001040NYR"
"LAK",0,3,2,1,0,6,0,0,0,2,0,2,"A","N","2010-01-04","201001040SJS"
"SJS",0,0,0,2,0,2,0,3,2,1,0,6,"H","N","2010-01-04","201001040SJS"
"ANA",0,2,0,2,0,4,0,0,0,1,0,1,"H","N","2010-01-05","201001050ANA"
"DET",0,0,0,1,0,1,0,2,0,2,0,4,"A","N","2010-01-05","201001050ANA"
"CHI",0,1,1,2,0,4,0,1,0,0,0,1,"H","N","2010-01-05","201001050CHI"
"MIN",0,1,0,0,0,1,0,1,1,2,0,4,"A","N","2010-01-05","201001050CHI"
"EDM",0,0,2,2,0,4,1,1,3,0,0,5,"H","N","2010-01-05","201001050EDM"
"PHX",1,1,3,0,0,5,0,0,2,2,0,4,"A","N","2010-01-05","201001050EDM"
"DAL",0,0,0,0,0,0,0,1,3,0,0,4,"A","N","2010-01-05","201001050NJD"
"NJD",0,1,3,0,0,4,0,0,0,0,0,0,"H","N","2010-01-05","201001050NJD"
"CGY",0,0,2,1,0,3,0,0,0,1,0,1,"A","N","2010-01-05","201001050NSH"
"NSH",0,0,0,1,0,1,0,0,2,1,0,3,"H","N","2010-01-05","201001050NSH"
"BOS",0,4,0,0,0,4,0,0,1,0,0,1,"A","N","2010-01-05","201001050OTT"
"OTT",0,0,1,0,0,1,0,4,0,0,0,4,"H","N","2010-01-05","201001050OTT"
"ATL",0,0,2,0,0,2,0,0,3,2,0,5,"A","N","2010-01-05","201001050PIT"
"PIT",0,0,3,2,0,5,0,0,2,0,0,2,"H","N","2010-01-05","201001050PIT"
"FLA",0,2,0,0,0,2,0,1,2,0,0,3,"A","N","2010-01-05","201001050TOR"
"TOR",0,1,2,0,0,3,0,2,0,0,0,2,"H","N","2010-01-05","201001050TOR"
"CBJ",0,2,1,0,0,3,0,3,3,1,0,7,"A","N","2010-01-05","201001050VAN"
"VAN",0,3,3,1,0,7,0,2,1,0,0,3,"H","N","2010-01-05","201001050VAN"
"MTL",0,0,1,1,0,2,0,0,3,1,0,4,"A","N","2010-01-05","201001050WSH"
"WSH",0,0,3,1,0,4,0,0,1,1,0,2,"H","N","2010-01-05","201001050WSH"
"BUF",0,3,2,0,0,5,0,2,1,0,0,3,"H","N","2010-01-06","201001060BUF"
"TBL",0,2,1,0,0,3,0,3,2,0,0,5,"A","N","2010-01-06","201001060BUF"
"COL",0,1,0,1,0,2,0,1,1,1,0,3,"H","N","2010-01-06","201001060COL"
"NYI",0,1,1,1,0,3,0,1,0,1,0,2,"A","N","2010-01-06","201001060COL"
"CGY",0,1,0,0,0,1,0,1,2,1,0,4,"A","N","2010-01-06","201001060MIN"
"MIN",0,1,2,1,0,4,0,1,0,0,0,1,"H","N","2010-01-06","201001060MIN"
"DAL",0,1,1,0,0,2,0,2,1,2,0,5,"A","N","2010-01-06","201001060NYR"
"NYR",0,2,1,2,0,5,0,1,1,0,0,2,"H","N","2010-01-06","201001060NYR"
"PHI",0,2,1,3,0,6,0,0,0,2,0,2,"H","N","2010-01-06","201001060PHI"
"TOR",0,0,0,2,0,2,0,2,1,3,0,6,"A","N","2010-01-06","201001060PHI"
"SJS",1,0,0,1,0,2,0,0,1,0,0,1,"H","N","2010-01-06","201001060SJS"
"STL",0,0,1,0,0,1,1,0,0,1,0,2,"A","N","2010-01-06","201001060SJS"
"ANA",0,0,1,3,0,4,0,1,0,1,0,2,"H","N","2010-01-07","201001070ANA"
"STL",0,1,0,1,0,2,0,0,1,3,0,4,"A","N","2010-01-07","201001070ANA"
"ATL",0,0,0,1,1,2,0,0,1,0,0,1,"H","Y","2010-01-07","201001070ATL"
"NYR",0,0,1,0,0,1,0,0,0,1,1,2,"A","Y","2010-01-07","201001070ATL"
"BOS",0,2,0,0,0,2,0,2,2,1,0,5,"H","N","2010-01-07","201001070BOS"
"CHI",0,2,2,1,0,5,0,2,0,0,0,2,"A","N","2010-01-07","201001070BOS"
"CBJ",0,1,1,2,0,4,0,1,0,1,0,2,"A","N","2010-01-07","201001070EDM"
"EDM",0,1,0,1,0,2,0,1,1,2,0,4,"H","N","2010-01-07","201001070EDM"
"DET",0,1,0,1,0,2,0,0,0,1,0,1,"A","N","2010-01-07","201001070LAK"
"LAK",0,0,0,1,0,1,0,1,0,1,0,2,"H","N","2010-01-07","201001070LAK"
"FLA",0,0,0,0,0,0,0,1,0,1,0,2,"A","N","2010-01-07","201001070MTL"
"MTL",0,1,0,1,0,2,0,0,0,0,0,0,"H","N","2010-01-07","201001070MTL"
"CAR",0,1,0,1,0,2,0,2,1,1,0,4,"A","N","2010-01-07","201001070NSH"
"NSH",0,2,1,1,0,4,0,1,0,1,0,2,"H","N","2010-01-07","201001070NSH"
"PHI",0,3,2,2,0,7,0,2,1,1,0,4,"A","N","2010-01-07","201001070PIT"
"PIT",0,2,1,1,0,4,0,3,2,2,0,7,"H","N","2010-01-07","201001070PIT"
"PHX",0,0,0,0,0,0,0,1,1,2,0,4,"A","N","2010-01-07","201001070VAN"
"VAN",0,1,1,2,0,4,0,0,0,0,0,0,"H","N","2010-01-07","201001070VAN"
"OTT",0,0,1,1,0,2,0,2,0,3,0,5,"A","N","2010-01-07","201001070WSH"
"WSH",0,2,0,3,0,5,0,0,1,1,0,2,"H","N","2010-01-07","201001070WSH"
"BUF",0,2,1,0,0,3,0,0,0,2,0,2,"H","N","2010-01-08","201001080BUF"
"TOR",0,0,0,2,0,2,0,2,1,0,0,3,"A","N","2010-01-08","201001080BUF"
"CAR",0,1,1,0,0,2,0,0,0,1,0,1,"H","N","2010-01-08","201001080CAR"
"COL",0,0,0,1,0,1,0,1,1,0,0,2,"A","N","2010-01-08","201001080CAR"
"CBJ",0,1,1,1,0,3,0,1,0,1,0,2,"A","N","2010-01-08","201001080CGY"
"CGY",0,1,0,1,0,2,0,1,1,1,0,3,"H","N","2010-01-08","201001080CGY"
"DAL",0,1,3,0,0,4,0,2,1,0,0,3,"H","N","2010-01-08","201001080DAL"
"NYI",0,2,1,0,0,3,0,1,3,0,0,4,"A","N","2010-01-08","201001080DAL"
"NJD",0,0,0,2,0,2,0,1,2,1,0,4,"H","N","2010-01-08","201001080NJD"
"TBL",0,1,2,1,0,4,0,0,0,2,0,2,"A","N","2010-01-08","201001080NJD"
"ATL",0,0,1,0,0,1,0,3,1,4,0,8,"H","N","2010-01-09","201001090ATL"
"WSH",0,3,1,4,0,8,0,0,1,0,0,1,"A","N","2010-01-09","201001090ATL"
"BOS",0,0,0,1,0,1,0,1,1,1,0,3,"H","N","2010-01-09","201001090BOS"
"NYR",0,1,1,1,0,3,0,0,0,1,0,1,"A","N","2010-01-09","201001090BOS"
"BUF",0,0,1,2,0,3,0,2,1,0,1,4,"H","Y","2010-01-09","201001090BUF"
"COL",0,2,1,0,1,4,0,0,1,2,0,3,"A","Y","2010-01-09","201001090BUF"
"LAK",0,0,1,2,0,3,0,1,1,2,0,4,"H","N","2010-01-09","201001090LAK"
"STL",0,1,1,2,0,4,0,0,1,2,0,3,"A","N","2010-01-09","201001090LAK"
"CHI",0,3,2,0,0,5,0,1,0,4,1,6,"A","Y","2010-01-09","201001090MIN"
"MIN",0,1,0,4,1,6,0,3,2,0,0,5,"H","Y","2010-01-09","201001090MIN"
"MTL",0,0,1,0,0,1,1,1,0,0,0,2,"H","N","2010-01-09","201001090MTL"
"NJD",1,1,0,0,0,2,0,0,1,0,0,1,"A","N","2010-01-09","201001090MTL"
"ANA",0,1,2,0,0,3,0,0,0,2,0,2,"A","N","2010-01-09","201001090NSH"
"NSH",0,0,0,2,0,2,0,1,2,0,0,3,"H","N","2010-01-09","201001090NSH"
"FLA",0,1,2,0,0,3,0,0,0,0,0,0,"A","N","2010-01-09","201001090OTT"
"OTT",0,0,0,0,0,0,0,1,2,0,0,3,"H","N","2010-01-09","201001090OTT"
"PHI",0,1,0,3,0,4,0,0,0,1,0,1,"H","N","2010-01-09","201001090PHI"
"TBL",0,0,0,1,0,1,0,1,0,3,0,4,"A","N","2010-01-09","201001090PHI"
"NYI",0,2,2,0,1,5,0,1,0,3,0,4,"A","Y","2010-01-09","201001090PHX"
"PHX",0,1,0,3,0,4,0,2,2,0,1,5,"H","Y","2010-01-09","201001090PHX"
"DET",0,0,3,1,0,4,0,1,0,0,0,1,"A","N","2010-01-09","201001090SJS"
"SJS",0,1,0,0,0,1,0,0,3,1,0,4,"H","N","2010-01-09","201001090SJS"
"PIT",0,1,2,1,0,4,0,1,0,0,0,1,"A","N","2010-01-09","201001090TOR"
"TOR",0,1,0,0,0,1,0,1,2,1,0,4,"H","N","2010-01-09","201001090TOR"
"CGY",0,1,1,0,1,3,0,1,1,0,0,2,"A","Y","2010-01-09","201001090VAN"
"VAN",0,1,1,0,0,2,0,1,1,0,1,3,"H","Y","2010-01-09","201001090VAN"
"CAR",0,0,2,2,0,4,0,0,1,0,0,1,"H","N","2010-01-10","201001100CAR"
"OTT",0,0,1,0,0,1,0,0,2,2,0,4,"A","N","2010-01-10","201001100CAR"
"CBJ",0,1,0,1,0,2,0,0,0,0,0,0,"H","N","2010-01-10","201001100CBJ"
"DAL",0,0,0,0,0,0,0,1,0,1,0,2,"A","N","2010-01-10","201001100CBJ"
"ANA",0,2,0,1,0,3,0,0,0,1,0,1,"A","N","2010-01-10","201001100CHI"
"CHI",0,0,0,1,0,1,0,2,0,1,0,3,"H","N","2010-01-10","201001100CHI"
"CGY",0,1,1,0,0,2,0,0,2,0,1,3,"H","Y","2010-01-11","201001110CGY"
"COL",0,0,2,0,1,3,0,1,1,0,0,2,"A","Y","2010-01-11","201001110CGY"
"LAK",0,0,1,0,0,1,0,1,1,0,0,2,"H","N","2010-01-11","201001110LAK"
"SJS",0,1,1,0,0,2,0,0,1,0,0,1,"A","N","2010-01-11","201001110LAK"
"MIN",0,1,2,1,0,4,0,1,1,1,0,3,"H","N","2010-01-11","201001110MIN"
"PIT",0,1,1,1,0,3,0,1,2,1,0,4,"A","N","2010-01-11","201001110MIN"
"NSH",0,2,0,1,0,3,0,1,1,0,0,2,"A","N","2010-01-11","201001110VAN"
"VAN",0,1,1,0,0,2,0,2,0,1,0,3,"H","N","2010-01-11","201001110VAN"
"ATL",0,3,2,1,0,6,0,1,0,0,0,1,"H","N","2010-01-12","201001120ATL"
"OTT",0,1,0,0,0,1,0,3,2,1,0,6,"A","N","2010-01-12","201001120ATL"
"EDM",0,0,0,3,0,3,0,3,1,1,0,5,"H","N","2010-01-12","201001120EDM"
"NSH",0,3,1,1,0,5,0,0,0,3,0,3,"A","N","2010-01-12","201001120EDM"
"DET",0,0,0,0,0,0,0,2,2,2,0,6,"A","N","2010-01-12","201001120NYI"
"NYI",0,2,2,2,0,6,0,0,0,0,0,0,"H","N","2010-01-12","201001120NYI"
"NJD",0,0,0,0,1,1,0,0,0,0,0,0,"A","Y","2010-01-12","201001120NYR"
"NYR",0,0,0,0,0,0,0,0,0,0,1,1,"H","Y","2010-01-12","201001120NYR"
"DAL",0,0,1,2,0,3,0,1,4,1,0,6,"A","N","2010-01-12","201001120PHI"
"PHI",0,1,4,1,0,6,0,0,1,2,0,3,"H","N","2010-01-12","201001120PHI"
"PHX",0,0,0,1,0,1,0,2,1,0,0,3,"H","N","2010-01-12","201001120PHX"
"SJS",0,2,1,0,0,3,0,0,0,1,0,1,"A","N","2010-01-12","201001120PHX"
"CBJ",0,0,1,0,0,1,0,3,0,1,0,4,"A","N","2010-01-12","201001120STL"
"STL",0,3,0,1,0,4,0,0,1,0,0,1,"H","N","2010-01-12","201001120STL"
"TBL",0,4,1,2,0,7,0,1,3,0,0,4,"H","N","2010-01-12","201001120TBL"
"WSH",0,1,3,0,0,4,0,4,1,2,0,7,"A","N","2010-01-12","201001120TBL"
"CAR",0,1,1,2,0,4,0,1,1,0,0,2,"A","N","2010-01-12","201001120TOR"
"TOR",0,1,1,0,0,2,0,1,1,2,0,4,"H","N","2010-01-12","201001120TOR"
"ANA",0,1,1,2,0,4,0,0,3,0,0,3,"H","N","2010-01-13","201001130ANA"
"BOS",0,0,3,0,0,3,0,1,1,2,0,4,"A","N","2010-01-13","201001130ANA"
"CGY",0,0,1,0,0,1,0,1,1,1,0,3,"H","N","2010-01-13","201001130CGY"
"PIT",0,1,1,1,0,3,0,0,1,0,0,1,"A","N","2010-01-13","201001130CGY"
"FLA",0,2,2,0,0,4,0,0,2,2,1,5,"H","Y","2010-01-13","201001130FLA"
"WSH",0,0,2,2,1,5,0,2,2,0,0,4,"A","Y","2010-01-13","201001130FLA"
"MIN",0,2,0,3,0,5,0,1,1,0,0,2,"H","N","2010-01-13","201001130MIN"
"VAN",0,1,1,0,0,2,0,2,0,3,0,5,"A","N","2010-01-13","201001130MIN"
"ATL",0,0,1,0,0,1,1,0,1,0,0,2,"H","N","2010-01-14","201001140ATL"
"BUF",1,0,1,0,0,2,0,0,1,0,0,1,"A","N","2010-01-14","201001140ATL"
"CBJ",0,0,0,0,0,0,0,1,1,1,0,3,"A","N","2010-01-14","201001140CHI"
"CHI",0,1,1,1,0,3,0,0,0,0,0,0,"H","N","2010-01-14","201001140CHI"
"CAR",0,0,0,1,0,1,0,1,1,1,0,3,"A","N","2010-01-14","201001140DET"
"DET",0,1,1,1,0,3,0,0,0,1,0,1,"H","N","2010-01-14","201001140DET"
"EDM",0,0,2,0,0,2,0,0,0,3,0,3,"H","N","2010-01-14","201001140EDM"
"PIT",0,0,0,3,0,3,0,0,2,0,0,2,"A","N","2010-01-14","201001140EDM"
"ANA",0,0,0,0,0,0,0,1,3,0,0,4,"A","N","2010-01-14","201001140LAK"
"LAK",0,1,3,0,0,4,0,0,0,0,0,0,"H","N","2010-01-14","201001140LAK"
"DAL",0,2,1,0,0,3,0,1,2,2,0,5,"A","N","2010-01-14","201001140MTL"
"MTL",0,1,2,2,0,5,0,2,1,0,0,3,"H","N","2010-01-14","201001140MTL"
"NYR",0,0,0,0,0,0,0,0,0,2,0,2,"H","N","2010-01-14","201001140NYR"
"OTT",0,0,0,2,0,2,0,0,0,0,0,0,"A","N","2010-01-14","201001140NYR"
"NJD",0,0,2,1,0,3,0,2,0,2,0,4,"A","N","2010-01-14","201001140PHX"
"PHX",0,2,0,2,0,4,0,0,2,1,0,3,"H","N","2010-01-14","201001140PHX"
"BOS",0,0,1,0,1,2,0,0,1,0,0,1,"A","Y","2010-01-14","201001140SJS"
"SJS",0,0,1,0,0,1,0,0,1,0,1,2,"H","Y","2010-01-14","201001140SJS"
"MIN",0,0,0,0,0,0,0,0,0,1,0,1,"A","N","2010-01-14","201001140STL"
"STL",0,0,0,1,0,1,0,0,0,0,0,0,"H","N","2010-01-14","201001140STL"
"FLA",0,1,0,2,0,3,0,2,0,0,0,2,"A","N","2010-01-14","201001140TBL"
"TBL",0,2,0,0,0,2,0,1,0,2,0,3,"H","N","2010-01-14","201001140TBL"
"PHI",0,0,0,0,0,0,0,0,2,2,0,4,"A","N","2010-01-14","201001140TOR"
"TOR",0,0,2,2,0,4,0,0,0,0,0,0,"H","N","2010-01-14","201001140TOR"
"CGY",0,0,0,0,0,0,0,0,0,1,0,1,"H","N","2010-01-15","201001150CGY"
"NSH",0,0,0,1,0,1,0,0,0,0,0,0,"A","N","2010-01-15","201001150CGY"
"TOR",0,0,1,0,0,1,0,2,2,2,0,6,"A","N","2010-01-15","201001150WSH"
"WSH",0,2,2,2,0,6,0,0,1,0,0,1,"H","N","2010-01-15","201001150WSH"
"ATL",0,1,2,2,0,5,0,1,0,2,0,3,"A","N","2010-01-16","201001160CAR"
"CAR",0,1,0,2,0,3,0,1,2,2,0,5,"H","N","2010-01-16","201001160CAR"
"CBJ",0,2,2,1,0,5,0,3,0,3,0,6,"H","N","2010-01-16","201001160CBJ"
"CHI",0,3,0,3,0,6,0,2,2,1,0,5,"A","N","2010-01-16","201001160CBJ"
"COL",0,2,0,1,0,3,0,0,0,1,0,1,"H","N","2010-01-16","201001160COL"
"NJD",0,0,0,1,0,1,0,2,0,1,0,3,"A","N","2010-01-16","201001160COL"
"DAL",0,0,1,1,1,3,0,2,0,0,0,2,"H","Y","2010-01-16","201001160DAL"
"DET",0,2,0,0,0,2,0,0,1,1,1,3,"A","Y","2010-01-16","201001160DAL"
"FLA",0,3,2,0,0,5,0,2,0,0,0,2,"H","N","2010-01-16","201001160FLA"
"TBL",0,2,0,0,0,2,0,3,2,0,0,5,"A","N","2010-01-16","201001160FLA"
"BOS",0,1,2,0,0,3,0,1,0,2,1,4,"A","Y","2010-01-16","201001160LAK"
"LAK",0,1,0,2,1,4,0,1,2,0,0,3,"H","Y","2010-01-16","201001160LAK"
"MTL",0,1,1,0,0,2,0,1,2,1,0,4,"H","N","2010-01-16","201001160MTL"
"OTT",0,1,2,1,0,4,0,1,1,0,0,2,"A","N","2010-01-16","201001160MTL"
"BUF",0,0,1,1,0,2,0,1,1,0,1,3,"A","Y","2010-01-16","201001160NYI"
"NYI",0,1,1,0,1,3,0,0,1,1,0,2,"H","Y","2010-01-16","201001160NYI"
"MIN",0,0,1,3,0,4,0,2,0,4,0,6,"A","N","2010-01-16","201001160PHX"
"PHX",0,2,0,4,0,6,0,0,1,3,0,4,"H","N","2010-01-16","201001160PHX"
"EDM",0,1,0,1,0,2,0,2,2,0,0,4,"A","N","2010-01-16","201001160SJS"
"SJS",0,2,2,0,0,4,0,1,0,1,0,2,"H","N","2010-01-16","201001160SJS"
"NYR",0,0,1,0,0,1,0,1,0,3,0,4,"A","N","2010-01-16","201001160STL"
"STL",0,1,0,3,0,4,0,0,1,0,0,1,"H","N","2010-01-16","201001160STL"
"PIT",0,1,1,0,0,2,0,2,4,0,0,6,"A","N","2010-01-16","201001160VAN"
"VAN",0,2,4,0,0,6,0,1,1,0,0,2,"H","N","2010-01-16","201001160VAN"
"ANA",0,3,0,2,0,5,0,2,2,0,0,4,"H","N","2010-01-17","201001170ANA"
"CGY",0,2,2,0,0,4,0,3,0,2,0,5,"A","N","2010-01-17","201001170ANA"
"CHI",0,2,1,0,1,4,0,1,1,1,0,3,"A","Y","2010-01-17","201001170DET"
"DET",0,1,1,1,0,3,0,2,1,0,1,4,"H","Y","2010-01-17","201001170DET"
"MTL",0,2,0,0,0,2,0,0,3,3,0,6,"A","N","2010-01-17","201001170NYR"
"NYR",0,0,3,3,0,6,0,2,0,0,0,2,"H","N","2010-01-17","201001170NYR"
"PHI",0,2,0,1,0,3,0,2,1,2,0,5,"A","N","2010-01-17","201001170WSH"
"WSH",0,2,1,2,0,5,0,2,0,1,0,3,"H","N","2010-01-17","201001170WSH"
"BOS",0,0,0,1,0,1,0,2,2,1,0,5,"H","N","2010-01-18","201001180BOS"
"OTT",0,2,2,1,0,5,0,0,0,1,0,1,"A","N","2010-01-18","201001180BOS"
"CAR",0,0,1,1,0,2,0,1,1,1,0,3,"H","N","2010-01-18","201001180CAR"
"TBL",0,1,1,1,0,3,0,0,1,1,0,2,"A","N","2010-01-18","201001180CAR"
"CBJ",0,2,1,1,0,4,0,1,1,0,0,2,"H","N","2010-01-18","201001180CBJ"
"STL",0,1,1,0,0,2,0,2,1,1,0,4,"A","N","2010-01-18","201001180CBJ"
"COL",0,2,2,2,0,6,0,0,0,0,0,0,"H","N","2010-01-18","201001180COL"
"EDM",0,0,0,0,0,0,0,2,2,2,0,6,"A","N","2010-01-18","201001180COL"
"DAL",0,1,3,0,0,4,0,0,1,2,0,3,"H","N","2010-01-18","201001180DAL"
"MIN",0,0,1,2,0,3,0,1,3,0,0,4,"A","N","2010-01-18","201001180DAL"
"ATL",0,0,0,0,0,0,0,0,1,0,0,1,"A","N","2010-01-18","201001180FLA"
"FLA",0,0,1,0,0,1,0,0,0,0,0,0,"H","N","2010-01-18","201001180FLA"
"NSH",0,0,1,2,0,3,0,3,0,1,0,4,"H","N","2010-01-18","201001180NSH"
"TOR",0,3,0,1,0,4,0,0,1,2,0,3,"A","N","2010-01-18","201001180NSH"
"NJD",0,0,0,0,0,0,0,2,2,0,0,4,"A","N","2010-01-18","201001180NYI"
"NYI",0,2,2,0,0,4,0,0,0,0,0,0,"H","N","2010-01-18","201001180NYI"
"BUF",0,1,4,2,0,7,0,0,1,1,0,2,"A","N","2010-01-18","201001180PHX"
"PHX",0,0,1,1,0,2,0,1,4,2,0,7,"H","N","2010-01-18","201001180PHX"
"CGY",0,0,0,1,0,1,0,3,3,3,0,9,"A","N","2010-01-18","201001180SJS"
"SJS",0,3,3,3,0,9,0,0,0,1,0,1,"H","N","2010-01-18","201001180SJS"
"ANA",0,4,0,1,0,5,0,0,3,1,0,4,"H","N","2010-01-19","201001190ANA"
"BUF",0,0,3,1,0,4,0,4,0,1,0,5,"A","N","2010-01-19","201001190ANA"
"ATL",0,0,2,2,0,4,0,2,0,1,0,3,"H","N","2010-01-19","201001190ATL"
"TOR",0,2,0,1,0,3,0,0,2,2,0,4,"A","N","2010-01-19","201001190ATL"
"LAK",0,0,1,0,0,1,0,3,1,1,0,5,"H","N","2010-01-19","201001190LAK"
"SJS",0,3,1,1,0,5,0,0,1,0,0,1,"A","N","2010-01-19","201001190LAK"
"NYR",0,3,2,3,0,8,0,1,1,0,0,2,"H","N","2010-01-19","201001190NYR"
"TBL",0,1,1,0,0,2,0,3,2,3,0,8,"A","N","2010-01-19","201001190NYR"
"CHI",0,0,1,0,0,1,0,2,1,1,0,4,"A","N","2010-01-19","201001190OTT"
"OTT",0,2,1,1,0,4,0,0,1,0,0,1,"H","N","2010-01-19","201001190OTT"
"CBJ",0,0,2,1,0,3,0,1,3,1,0,5,"A","N","2010-01-19","201001190PHI"
"PHI",0,1,3,1,0,5,0,0,2,1,0,3,"H","N","2010-01-19","201001190PHI"
"NYI",0,0,2,2,0,4,0,1,3,2,0,6,"A","N","2010-01-19","201001190PIT"
"PIT",0,1,3,2,0,6,0,0,2,2,0,4,"H","N","2010-01-19","201001190PIT"
"DET",0,0,1,1,0,2,0,0,1,2,0,3,"A","N","2010-01-19","201001190WSH"
"WSH",0,0,1,2,0,3,0,0,1,1,0,2,"H","N","2010-01-19","201001190WSH"
"EDM",0,1,1,0,0,2,1,1,0,1,0,3,"H","N","2010-01-20","201001200EDM"
"VAN",1,1,0,1,0,3,0,1,1,0,0,2,"A","N","2010-01-20","201001200EDM"
"MTL",0,1,0,2,0,3,1,3,0,0,0,4,"H","N","2010-01-20","201001200MTL"
"STL",1,3,0,0,0,4,0,1,0,2,0,3,"A","N","2010-01-20","201001200MTL"
"FLA",0,0,0,0,0,0,0,0,1,1,0,2,"A","N","2010-01-20","201001200NJD"
"NJD",0,0,1,1,0,2,0,0,0,0,0,0,"H","N","2010-01-20","201001200NJD"
"ATL",0,0,1,1,0,2,0,2,2,1,0,5,"H","N","2010-01-21","201001210ATL"
"CAR",0,2,2,1,0,5,0,0,1,1,0,2,"A","N","2010-01-21","201001210ATL"
"BOS",0,1,1,0,0,2,0,1,0,2,0,3,"H","N","2010-01-21","201001210BOS"
"CBJ",0,1,0,2,0,3,0,1,1,0,0,2,"A","N","2010-01-21","201001210BOS"
"CGY",0,0,1,0,0,1,0,0,1,2,0,3,"H","N","2010-01-21","201001210CGY"
"CHI",0,0,1,2,0,3,0,0,1,0,0,1,"A","N","2010-01-21","201001210CGY"
"BUF",0,0,2,1,0,3,0,1,1,1,1,4,"A","Y","2010-01-21","201001210LAK"
"LAK",0,1,1,1,1,4,0,0,2,1,0,3,"H","Y","2010-01-21","201001210LAK"
"DET",0,1,0,2,1,4,0,0,1,2,0,3,"A","Y","2010-01-21","201001210MIN"
"MIN",0,0,1,2,0,3,0,1,0,2,1,4,"H","Y","2010-01-21","201001210MIN"
"FLA",0,0,1,0,0,1,0,0,1,0,1,2,"A","Y","2010-01-21","201001210NYI"
"NYI",0,0,1,0,1,2,0,0,1,0,0,1,"H","Y","2010-01-21","201001210NYI"
